學校類型,學校代碼,學校名稱,學位生-正式修讀學位外國生,學位生-僑生(含港澳),學位生-正式修讀學位陸生,非學位生-外國交換生,非學位生-外國短期研習及個人選讀,非學位生-大專附設華語文中心學生,非學位生-大陸研修生,非學位生-海青班,境外專班
大專校院,0001,國立政治大學,488,483,194,570,68,902,…,0,0
大專校院,0002,國立清華大學,320,234,139,40,120,0,…,0,0
大專校院,0003,國立臺灣大學,686,1051,315,708,296,744,…,0,0
大專校院,0004,國立臺灣師範大學,496,537,45,100,127,3343,…,0,0
大專校院,0004A,國立臺灣師大僑生先修部,0,1248,0,0,0,0,…,0,0
大專校院,0005,國立成功大學,572,570,108,57,69,1009,…,0,0
大專校院,0006,國立中興大學,250,366,17,56,30,32,…,0,0
大專校院,0007,國立交通大學,441,324,110,114,133,69,…,0,0
大專校院,0008,國立中央大學,233,206,56,52,17,99,…,0,0
大專校院,0009,國立中山大學,169,192,43,123,264,443,…,0,0
大專校院,0012,國立臺灣海洋大學,78,225,10,0,8,0,…,0,0
大專校院,0013,國立中正大學,65,318,22,19,61,0,…,0,0
大專校院,0014,國立高雄師範大學,29,97,6,17,77,142,…,0,0
大專校院,0015,國立彰化師範大學,24,167,8,9,20,28,…,0,60
大專校院,0016,國立陽明大學,87,115,6,5,46,0,…,0,0
大專校院,0017,國立臺北大學,48,240,20,20,65,0,…,0,0
大專校院,0018,國立嘉義大學,66,357,2,5,0,54,…,0,0
大專校院,0019,國立高雄大學,21,155,5,28,0,43,…,0,0
大專校院,0020,國立東華大學,197,255,8,4,0,0,…,0,0
大專校院,0021,國立暨南國際大學,70,455,6,9,1,0,…,0,13
大專校院,0022,國立臺灣科技大學,482,153,65,140,11,0,…,0,0
大專校院,0023,國立雲林科技大學,66,125,44,13,6,0,…,0,0
大專校院,0024,國立屏東科技大學,239,240,3,42,23,88,…,113,0
大專校院,0025,國立臺北科技大學,347,142,42,29,14,0,…,0,0
大專校院,0026,國立高雄第一科技大學,48,79,16,26,0,0,…,0,0
大專校院,0027,國立高雄應用科技大學,222,95,7,1,1,0,…,0,0
大專校院,0028,國立臺北藝術大學,68,117,13,18,0,0,…,0,0
大專校院,0029,國立臺灣藝術大學,78,108,15,17,0,0,…,0,0
大專校院,0030,國立臺東大學,26,70,1,5,0,0,…,0,0
大專校院,0031,國立宜蘭大學,14,113,6,2,0,0,…,0,0
大專校院,0032,國立聯合大學,15,88,5,0,40,0,…,0,0
大專校院,0033,國立虎尾科技大學,49,34,3,3,6,0,…,0,0
大專校院,0034,國立高雄海洋科技大學,15,42,5,1,14,0,…,0,0
大專校院,0035,國立臺南藝術大學,11,8,3,2,0,0,…,0,0
大專校院,0036,國立臺南大學,50,105,9,2,0,0,…,0,0
大專校院,0037,國立臺北教育大學,16,102,3,17,29,457,…,0,0
大專校院,0038,國立新竹教育大學,24,58,4,1,0,0,…,0,17
大專校院,0039,國立臺中教育大學,96,149,1,5,40,127,…,0,0
大專校院,0042,國立澎湖科技大學,8,26,6,0,0,0,…,0,0
大專校院,0043,國立勤益科技大學,13,35,1,0,61,0,…,0,0
大專校院,0044,國立體育大學,10,40,4,5,27,0,…,0,0
大專校院,0046,國立臺北護理健康大學,48,45,1,58,42,0,…,0,0
大專校院,0047,國立高雄餐旅大學,71,162,7,16,0,0,…,0,0
大專校院,0048,國立金門大學,0,49,83,1,0,0,…,0,0
大專校院,0049,國立臺灣體育運動大學,3,55,2,0,4,0,…,0,0
大專校院,0050,國立臺中科技大學,7,82,5,1,80,0,…,0,0
大專校院,0051,國立臺北商業大學,8,101,10,24,0,0,…,0,0
大專校院,0052,國立屏東大學,8,135,9,3,0,40,…,0,0
大專校院,0144,國立臺灣戲曲學院,0,1,3,0,0,0,…,0,0
大專校院,1001,東海大學,244,464,274,82,53,339,…,0,0
大專校院,1002,輔仁大學,167,594,419,115,21,960,…,0,0
大專校院,1003,東吳大學,67,350,86,100,1,133,…,0,0
大專校院,1004,中原大學,231,260,284,44,92,442,…,0,0
大專校院,1005,淡江大學,321,848,411,78,0,1328,…,0,0
大專校院,1006,中國文化大學,370,639,344,163,8,2354,…,259,0
大專校院,1007,逢甲大學,464,463,319,42,25,366,…,353,0
大專校院,1008,靜宜大學,139,259,220,135,124,424,…,215,0
大專校院,1009,長庚大學,111,117,33,7,78,0,…,0,0
大專校院,1010,元智大學,209,168,150,50,14,0,…,0,0
大專校院,1011,中華大學,63,26,17,0,0,59,…,0,0
大專校院,1012,大葉大學,76,175,24,1,2,0,…,66,0
大專校院,1013,華梵大學,26,8,11,3,0,0,…,0,0
大專校院,1014,義守大學,556,464,119,12,0,266,…,0,71
大專校院,1015,世新大學,190,454,218,17,0,0,…,0,0
大專校院,1016,銘傳大學,802,686,419,124,719,276,…,426,0
