洲別,國別,學位生-正式修讀學位外國生,學位生-僑生(含港澳),學位生-正式修讀學位陸生,非學位生-外國交換生,非學位生-外國短期研習及個人選讀,非學位生-大專附設華語文中心學生,非學位生-大陸研修生,非學位生-海青班,境外專班
亞洲,中國大陸,0,0,7813,0,0,24,34114,0,0
亞洲,馬來西亞,4465,7053,0,38,848,247,0,2291,112
亞洲,香港,0,7333,0,188,205,507,0,0,0
亞洲,日本,791,175,0,499,1554,3436,0,0,0
亞洲,澳門,0,5001,0,21,12,118,0,0,0
亞洲,印尼,1623,1101,0,68,162,1442,0,58,0
亞洲,越南,2586,307,0,50,47,1096,0,0,373
亞洲,南韓,596,196,0,781,417,2070,0,2,0
亞洲,泰國,506,260,0,129,241,455,0,0,0
亞洲,印度,803,1,0,32,99,228,0,0,0
亞洲,蒙古,607,0,0,6,5,192,0,0,0
亞洲,新加坡,101,89,0,116,240,110,0,0,7
亞洲,緬甸,9,454,0,0,5,71,0,38,0
亞洲,菲律賓,139,34,0,22,119,256,0,0,0
亞洲,俄羅斯,146,1,0,39,6,205,0,0,0
亞洲,土耳其,56,0,0,7,4,83,0,0,0
亞洲,約旦,30,5,0,0,0,37,0,0,0
亞洲,伊朗,47,0,0,0,5,13,0,0,0
亞洲,尼泊爾,34,0,0,0,2,12,0,0,0
亞洲,以色列,13,0,0,7,3,23,0,0,0
亞洲,巴基斯坦,35,1,0,0,5,1,0,0,0
亞洲,汶萊,5,13,0,6,4,0,0,5,0
亞洲,斯里蘭卡,16,1,0,0,0,1,0,0,0
亞洲,伊拉克,10,0,0,0,0,6,0,0,0
亞洲,孟加拉,14,1,0,0,0,0,0,0,0
亞洲,不丹,1,0,0,0,0,14,0,0,0
亞洲,哈薩克,7,0,0,0,1,3,0,0,0
亞洲,烏茲別克,3,0,0,0,1,7,0,0,0
亞洲,塔吉克,6,0,0,0,0,2,0,0,0
亞洲,阿拉伯聯合大公國,0,2,0,0,2,2,0,0,0
亞洲,葉門,1,3,0,0,0,2,0,0,0
亞洲,吉爾吉斯,6,0,0,0,0,0,0,0,0
亞洲,巴林,1,1,0,0,3,0,0,0,0
亞洲,柬埔寨,2,1,0,0,1,0,0,0,0
亞洲,寮國,2,2,0,0,0,0,0,0,0
亞洲,黎巴嫩,1,1,0,0,1,1,0,0,0
亞洲,沙烏地阿拉伯,2,2,0,0,0,0,0,0,0
亞洲,敘利亞,1,0,0,0,0,2,0,0,0
亞洲,亞美尼亞,0,0,0,0,0,3,0,0,0
亞洲,科威特,0,1,0,0,0,1,0,0,0
亞洲,巴勒斯坦,0,0,0,0,0,2,0,0,0
亞洲,土庫曼,2,0,0,0,0,0,0,0,0
亞洲,亞塞拜然,0,0,0,0,0,1,0,0,0
亞洲,摩爾多瓦,1,0,0,0,0,0,0,0,0
大洋洲,澳大利亞,16,15,0,24,58,294,0,0,0
大洋洲,紐西蘭,6,25,0,6,13,66,0,0,0
大洋洲,索羅門群島,64,0,0,0,0,50,0,0,0
大洋洲,吉里巴斯,42,0,0,0,0,29,0,0,0
大洋洲,馬紹爾群島共和國,20,0,0,0,0,33,0,0,0
大洋洲,吐瓦魯,29,0,0,0,0,18,0,0,0
大洋洲,帛琉,25,3,0,0,0,12,0,0,0
大洋洲,諾魯,8,0,0,0,0,13,0,0,0
大洋洲,巴布亞紐幾內亞,3,2,0,0,0,0,0,0,0
大洋洲,斐濟,0,1,0,0,0,0,0,0,0
大洋洲,密克羅尼西亞,1,0,0,0,0,0,0,0,0
非洲,史瓦濟蘭,191,1,0,0,0,145,0,0,0
非洲,南非,38,68,0,0,1,81,0,0,0
非洲,甘比亞,139,0,0,0,0,46,0,0,0
非洲,布吉納法索,75,0,0,0,0,63,0,0,0
非洲,聖多美普林西比,40,0,0,0,0,22,0,0,0
非洲,衣索比亞,59,0,0,0,0,1,0,0,0
非洲,奈及利亞,24,0,0,1,0,3,0,0,0
非洲,馬拉威,21,3,0,0,0,2,0,0,0
非洲,埃及,17,1,0,0,2,5,0,0,0
非洲,肯亞,18,1,0,0,0,2,0,0,0
非洲,摩洛哥,1,0,0,5,6,7,0,0,0
非洲,剛果,5,0,0,0,0,2,0,0,0
非洲,辛巴威,5,0,0,0,0,2,0,0,0
非洲,喀麥隆,4,0,0,0,0,2,0,0,0
非洲,象牙海岸,1,3,0,0,0,1,0,0,0
非洲,坦尚尼亞,5,0,0,0,0,0,0,0,0
非洲,模里西斯,0,4,0,0,0,0,0,0,0
非洲,莫三比克,3,0,0,0,0,1,0,0,0
