學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,0001,國立政治大學,537,622,344,572,66,920,0,0,0
大專校院,0002,國立清華大學,505,444,247,56,147,360,0,0,5
大專校院,0003,國立臺灣大學,871,1297,447,802,628,1023,0,0,0
大專校院,0004,國立臺灣師範大學,598,662,133,99,0,4936,0,0,0
大專校院,0004A,國立臺灣師大僑生先修部,0,588,0,0,0,0,0,0,0
大專校院,0005,國立成功大學,828,677,162,66,208,1238,0,0,0
大專校院,0006,國立中興大學,307,440,35,67,33,135,0,0,0
大專校院,0007,國立交通大學,549,405,170,174,149,554,0,0,0
大專校院,0008,國立中央大學,519,241,84,78,53,177,0,0,0
大專校院,0009,國立中山大學,256,230,61,135,344,456,0,0,0
大專校院,0012,國立臺灣海洋大學,113,346,26,6,18,78,0,0,0
大專校院,0013,國立中正大學,168,370,37,16,128,0,0,0,0
大專校院,0014,國立高雄師範大學,35,137,29,10,15,265,0,0,0
大專校院,0015,國立彰化師範大學,48,200,27,6,0,77,0,0,91
大專校院,0016,國立陽明大學,98,131,15,3,93,0,0,0,0
大專校院,0017,國立臺北大學,49,306,50,24,18,0,0,0,0
大專校院,0018,國立嘉義大學,84,385,7,7,0,230,0,0,0
大專校院,0019,國立高雄大學,23,143,16,34,0,15,0,0,0
大專校院,0020,國立東華大學,272,402,32,16,0,4,0,0,0
大專校院,0021,國立暨南國際大學,68,678,19,6,1,0,0,0,0
大專校院,0022,國立臺灣科技大學,747,314,161,209,25,0,0,0,12
大專校院,0023,國立雲林科技大學,102,244,111,9,3,0,0,0,26
大專校院,0024,國立屏東科技大學,291,308,12,0,62,76,0,53,25
大專校院,0025,國立臺北科技大學,374,286,119,63,4,225,0,0,0
大專校院,0026,國立高雄第一科技大學,60,90,53,30,14,0,0,0,0
大專校院,0027,國立高雄應用科技大學,129,101,20,5,0,0,0,0,0
大專校院,0028,國立臺北藝術大學,90,116,46,21,0,0,0,0,0
大專校院,0029,國立臺灣藝術大學,72,141,52,17,0,0,0,0,0
大專校院,0030,國立臺東大學,22,81,5,3,3,143,0,0,0
大專校院,0031,國立宜蘭大學,12,154,13,4,4,0,0,0,0
大專校院,0032,國立聯合大學,5,89,17,0,69,47,0,0,0
大專校院,0033,國立虎尾科技大學,82,33,27,0,5,0,0,0,0
